ID,County,Locality,Lat,Lon,Elev,Trap,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Sex,Observer/Collector,Family,Genus,Species
PHPP17-1511,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1512,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1513,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,bohemicus
PHPP17-1514,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1515,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1516,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1517,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1518,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1519,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,ternarius
PHPP17-152,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Halictus,confusus
PHPP17-1520,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1521,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1522,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,vane trap,26,vi,2018,5,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1523,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1524,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1525,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1526,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1527,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1528,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1529,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-153,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,male,M. P. Gavin,Halictidae,Halictus,confusus
PHPP17-1530,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1532,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Megachilidae,Megachile,circumcincta
PHPP17-1533,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Halictidae,Lasioglossum,paraforbesii
PHPP17-1534,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1535,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1536,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1537,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1538,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,bifarius
PHPP17-1539,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-154,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,leucozonium
PHPP17-1540,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1541,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1542,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Halictidae,Halictus,rubicundus
PHPP17-1545,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1546,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,nevadensis
PHPP17-1547,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1548,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1549,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-155,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Sphecodes,
PHPP17-1550,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1551,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1552,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,ternarius
PHPP17-1553,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Halictidae,Lasioglossum,zonulum
PHPP17-1554,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Halictidae,Agapostemon,texanus
PHPP17-1555,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Halictidae,Agapostemon,texanus
PHPP17-1556,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,fervidus
PHPP17-1557,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,huntii
PHPP17-1558,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1559,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-156,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,
PHPP17-1560,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1561,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1562,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1563,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Apis,mellifera
PHPP17-1564,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Megachilidae,Megachile,melanophaea
PHPP17-1565,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1567,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1568,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1569,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-157,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,
PHPP17-1570,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1571,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1572,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1573,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1574,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1575,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Halictidae,Lasioglossum,zonulum
PHPP17-1576,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1577,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Halictidae,Lasioglossum,zonulum
PHPP17-1578,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,nevadensis
PHPP17-1579,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-158,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Lasioglossum,
PHPP17-1580,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1581,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1582,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,bifarius
PHPP17-1583,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1584,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1585,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Megachilidae,Megachile,circumcincta
PHPP17-1587,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1589,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,huntii
PHPP17-159,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,male,M. P. Gavin,Colletidae,Hylaeus,
PHPP17-1590,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,ternarius
