Specimen_ID,County,Locality,Lat,Lon,Elev,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Method,Collector,FlowerSpp,Family,Genus,Species,Sex,Caste
CPP-95,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Andrenidae,Andrena,sp. 5,female,
CPP-96,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,sp. 2,female,
CPP-97,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Andrenidae,Andrena,sp. 5,female,
CPP-98,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,sp. 2,female,
CPP-99,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Andrenidae,Andrena,sp. 6,male,
CPP-100,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,,,,,
CPP-101,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,,,,,
CPP-102,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,,,,,
CPP-103,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,,,,,
CPP-104,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,,,,,
CPP-105,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,,,,,
CPP-106,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,,,,,
CPP-107,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,sp. 1,female,
CPP-108,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-109,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-110,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-111,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-112,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-113,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-114,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
